item_name,is_folder,fs_item_name,fs_is_folder,fs_unique_id,tp_item_name,tp_is_folder,tp_cat_1,tp_cat_1_name,tp_cat_2,tp_comment,no_show,original_order
._dotfiles,True,._dotfiles,True,10,._dotfiles,True,term,Terminal,dotfile mgmt,/Users/stevenbrown/._dotfiles/._dotfiles_srb_repo,False,0
.zshrc,False,.zshrc,False,22,.zshrc,False,term,Terminal,zshrc,,False,1
.zsh_history,False,.zsh_history,False,32,.zsh_history,False,term,Terminal,zshrc,,False,2
.zshrc_aliases,False,.zshrc_aliases,False,54,.zshrc_aliases,False,term,Terminal,zshrc,,False,3
.zsh_history.bak,False,.zsh_history.bak,False,14,.zsh_history.bak,False,term,Terminal,zshrc,,False,4
.zshrc_scripts,False,.zshrc_scripts,False,56,.zshrc_scripts,False,term,Terminal,zshrc,,False,5
.zshrc_themes_omp,False,.zshrc_themes_omp,False,60,.zshrc_themes_omp,False,term,Terminal,zshrc,,False,6
.zshrc_autocomplete1,False,.zshrc_autocomplete1,False,16,.zshrc_autocomplete1,False,term,Terminal,zshrc,,False,7
.zprofile,False,.zprofile,False,29,.zprofile,False,term,Terminal,zsh other,zsh profile file,False,8
.zcompdump-srb_mbp23-5.9,False,.zcompdump-srb_mbp23-5.9,False,39,.zcompdump-srb_mbp23-5.9,False,term,Terminal,zsh other,zsh completion dump file,False,9
.zsh_sessions,True,.zsh_sessions,True,74,.zsh_sessions,True,term,Terminal,zsh other,Command history and state from previous zsh sessions,False,10
.zcompdump,False,.zcompdump,False,59,.zcompdump,False,term,Terminal,zsh other,,False,11
.zcompdump-srb_mbp23-5.9.zwc,False,.zcompdump-srb_mbp23-5.9.zwc,False,49,.zcompdump-srb_mbp23-5.9.zwc,False,term,Terminal,zsh other,,False,12
.oh-my-posh,True,.oh-my-posh,True,11,.oh-my-posh,True,term,Terminal,zsh themes,,False,13
.bashrc,False,.bashrc,False,20,.bashrc,False,term,Terminal,bash,,False,14
.bash_history,False,.bash_history,False,72,.bash_history,False,term,Terminal,bash,,False,15
.bash_sessions,True,.bash_sessions,True,43,.bash_sessions,True,term,Terminal,bash,Command history and state from previous bash sessions,False,16
.sh_history,False,.sh_history,False,50,.sh_history,False,term,Terminal,bash,Shell history file,False,17
.iterm2_shell_integration.zsh,False,.iterm2_shell_integration.zsh,False,34,.iterm2_shell_integration.zsh,False,term,Terminal,other,iTerm2 shell integration file,False,18
.iterm2,True,.iterm2,True,46,.iterm2,True,term,Terminal,other,iTerm2 configuration files,False,19
.viminfo,False,.viminfo,False,73,.viminfo,False,term,Terminal,other,,False,20
.npm,True,.npm,True,61,.npm,True,swd,Software Development,package managers plus,Node.js package manager,False,21
.npmrc,False,.npmrc,False,35,.npmrc,False,swd,Software Development,package managers plus,Node.js package manager configuration file,False,22
.nvm,True,.nvm,True,30,.nvm,True,swd,Software Development,package managers plus,Node.js version manager,False,23
.yarnrc,False,.yarnrc,False,12,.yarnrc,False,swd,Software Development,package managers plus,Yarn package manager,False,24
.node-gyp,True,.node-gyp,True,6,.node-gyp,True,swd,Software Development,package managers plus,Node.js native addon build tool,False,25
.docker,True,.docker,True,5,.docker,True,swd,Software Development,package managers plus,Docker containerization platform,False,26
.gem,True,.gem,True,65,.gem,True,swd,Software Development,package managers plus,Ruby Gems (Ruby libraries and packages),False,27
.vuerc,False,.vuerc,False,8,.vuerc,False,swd,Software Development,frameworks,Vue.js configuration file,False,28
.vue-cli-ui,True,.vue-cli-ui,True,3,.vue-cli-ui,True,swd,Software Development,frameworks,Vue.js CLI User Interface config,False,29
.nuxtrc,False,.nuxtrc,False,2,.nuxtrc,False,swd,Software Development,frameworks,Nuxt.js configuration file,False,30
.python_history,False,.python_history,False,68,.python_history,False,swd,Software Development,python,,False,31
.pyenv,True,.pyenv,True,62,.pyenv,True,swd,Software Development,python,Python version manager,False,32
.ipython,True,.ipython,True,33,.ipython,True,swd,Software Development,python,Python interactive shell,False,33
.pylint.d,True,.pylint.d,True,27,.pylint.d,True,swd,Software Development,python,Python linting tool,False,34
