line_content,fs_filename,fs_type,tp_filename,tp_type,tp_comment,line_type,unique_id
,,,,File,,formatting,0
,,,,File,,formatting,1
### Terminal,,,,File,,formatting,2
,,,,File,,formatting,3
#### term: dotfile mgmt,,,,File,,formatting,4
,,,,File,,formatting,5
- **._dotfiles | /Users/stevenbrown/.\_dotfiles/.\_dotfiles_srb_repo (ƒ)**,._dotfiles,Folder,._dotfiles,Folder,/Users/stevenbrown/.\_dotfiles/.\_dotfiles_srb_repo,data,6
,,,,File,,formatting,7
#### term: zshrc,,,,File,,formatting,8
,,,,File,,formatting,9
- .zshrc,.zshrc,File,.zshrc,File,,data,10
- .zshrc_aliases,.zshrc_aliases,File,.zshrc_aliases,File,,data,11
- .zshrc_scripts,.zshrc_scripts,File,.zshrc_scripts,File,,data,12
- .zshrc_themes_omp,.zshrc_themes_omp,File,.zshrc_themes_omp,File,,data,13
- .zshrc_autocomplete1,.zshrc_autocomplete1,File,.zshrc_autocomplete1,File,,data,14
,,,,File,,formatting,15
#### term: zsh other,,,,File,,formatting,16
,,,,File,,formatting,17
- .zprofile | zsh profile file,.zprofile,File,.zprofile,File,zsh profile file,data,18
- .zsh_history,.zsh_history,File,.zsh_history,File,,data,19
- .zsh_history.bak,.zsh_history.bak,File,.zsh_history.bak,File,,data,20
"- **.zshrc_SUPPORT | user-created zsh files, misc (ƒ)**",,,.zshrc_SUPPORT,Folder,"user-created zsh files, misc",data,21
"- .zshrc default, disabled",,,".zshrc default, disabled",File,,data,22
- **.zsh_sessions | Command history and state from previous zsh sessions (ƒ)**,.zsh_sessions,Folder,.zsh_sessions,Folder,Command history and state from previous zsh sessions,data,23
- .zcompdump | zsh completion dump file,.zcompdump,File,.zcompdump,File,zsh completion dump file,data,24
- .test_file_name_in_template,,,.test_file_name_in_template,File,,data,25
- **.test_folder | comments are here (ƒ)**,,,.test_folder,Folder,comments are here,data,26
,,,,File,,formatting,27
#### term: zsh themes,,,,File,,formatting,28
,,,,File,,formatting,29
- **.oh-my-posh (ƒ)**,.oh-my-posh,Folder,.oh-my-posh,Folder,,data,30
,,,,File,,formatting,31
#### term: bash,,,,File,,formatting,32
,,,,File,,formatting,33
- .bashrc,.bashrc,File,.bashrc,File,,data,34
- .bash_history,.bash_history,File,.bash_history,File,,data,35
- **.bash_sessions | Command history and state from previous bash sessions (ƒ)**,.bash_sessions,Folder,.bash_sessions,Folder,Command history and state from previous bash sessions,data,36
- .sh_history | Shell history file,.sh_history,File,.sh_history,File,Shell history file,data,37
